species;xcoord;ycoord
CHASTR;769376.4302;6291379.469
CHASTR;712369.2446;6241836.517
CHASTR;754549.3244;6307936.255
CHASTR;763034.2014;6301029.715
CHASTR;795433.5694;6298651.058
CHASTR;696821.9349;6235866.812
CHASTR;696843.3684;6236467.126
CHASTR;695387.1885;6198620.04
CHASTR;695387.1885;6198620.04
CHASTR;705925.6603;6228913.557
CHASTR;697760.6378;6220891.754
CHASTR;697078.2122;6221438.894
CHASTR;774002.0331;6283893.897
CHASTR;773988.354;6283890.404
CHASTR;773829.2041;6283765.188
CHASTR;781574.387;6330281.286
CHASTR;820868.5113;6297037.865
CHASTR;704600.2117;6247949.057
CHASTR;817620.5629;6312689.855
CHASTR;708220.9898;6224473.538
CHASTR;707756.2667;6224475.831
CHASTR;764100.0898;6288291.806
CHASTR;842565.6417;6321396.426
CHASTR;763008.3133;6274875.881
CHASTR;798821.7073;6295941.623
CHASTR;842447.9138;6321788.357
CHASTR;842437.7201;6321801.338
CHASTR;804683.9865;6282885.6
CHASTR;842624.7045;6321432.373
CHASTR;759786.671;6301788.607
CHASTR;727725.3492;6284851.471
CHASTR;799710.3852;6296839.408
CHASTR;727527.9356;6284791.712
CHASTR;814617.1405;6333109.606
CHASTR;814923.8555;6332936.262
CHASTR;731906.9755;6249243.192
CHASTR;732558.1475;6249308.719
CHASTR;732067.6421;6249563.03
CHASTR;711322.3561;6265502.438
CHASTR;711251.1178;6265515.65
CHASTR;711234.1273;6265513.397
CHASTR;761188.5457;6282844.379
CHASTR;761225.8779;6282739.152
CHASTR;760848.9181;6282487.694
CHASTR;760823.9614;6282480.787
CHASTR;760809.5288;6282470.647
CHASTR;802910.9995;6312108.528
CHASTR;711255.1582;6265518.991
CHASTR;761174.4203;6282886.477
CHASTR;806729.3584;6308968.7
CHASTR;687933.8247;6160017.035
CHASTR;821198.6994;6302250.964
CHASTR;821178.479;6302213.9
CHASTR;821307.8029;6302396.423
CHASTR;638907.9294;6218509.639
CHASTR;638888.4594;6218519.831
CHASTR;638965.5775;6218484.63
CHASTR;638941.8097;6218471.513
CHASTR;638941.1843;6218491.533
CHASTR;638899.7668;6218508.605
CHASTR;638866.4699;6218522.264
CHASTR;638765.6801;6218554.355
CHASTR;731749.2193;6243744.207
CHASTR;737586.1424;6243745.751
CHASTR;638756.3003;6218511.08
CHASTR;707879.6869;6232579.031
CHASTR;707866.4215;6232783.575
CHASTR;822074.6829;6303954.916
CHASTR;822018.3476;6303997.179
CHASTR;641005.0516;6218088.679
CHASTR;640247.4042;6218681.643
CHASTR;640343.7305;6218695.204
CHASTR;640809.4549;6218275.051
CHASTR;640417.4391;6218643.374
CHASTR;640487.5033;6218109.01
CHASTR;640168.4388;6218255.404
CHASTR;638695.0856;6218589.497
CHASTR;638983.744;6218508.92
CHASTR;639356.455;6217570.279
CHASTR;639604.7985;6217445.634
CHASTR;639590.258;6217460.225
CHASTR;639483.1341;6217601.333
CHASTR;640040.7784;6218642.424
CHASTR;732078.4912;6243989.3
CHASTR;822041.3827;6303970.947
CHASTR;676274.8726;6170130.598
CHASTR;676531.8345;6170078.347
CHASTR;676298.0387;6170610.715
CHASTR;676416.5325;6170742.499
CHASTR;676465.8275;6170620.484
CHASTR;676616.0137;6170377.108
CHASTR;676239.9719;6170331.663
CHASTR;712204.4129;6153001.71
CHASTR;664756.3792;6228810.351
CHASTR;741262.9176;6270236.009
CHASTR;714338.0704;6287500.187
CHASTR;714323.2839;6287512.601
CHASTR;726826.8784;6283258.919
CHASTR;718792.3364;6283506.558
CHASTR;718799.5923;6283481.573
CHASTR;717338.362;6284969.991
CHASTR;717383.1617;6284961.778
CHASTR;727563.3753;6283220.274
CHASTR;727398.7354;6283259.129
CHASTR;727375.9385;6284845.736
CHASTR;727344.5565;6284976.52
CHASTR;724906.7679;6282236.547
CHASTR;724908.3113;6282275.341
CHASTR;726906.2777;6283605.781
CHASTR;726873.5053;6283799.243
CHASTR;723296.345;6281130.743
CHASTR;723275.7155;6281186.903
CHASTR;724574.1881;6282014.869
CHASTR;724229.1221;6281971.538
CHASTR;761821.2992;6294334.982
CHASTR;731262.4935;6283285.249
CHASTR;690339.3147;6196580.688
CHASTR;720744.6707;6282517.601
CHASTR;720880.8406;6282268.208
CHASTR;720826.8736;6282110.549
CHASTR;720802.3136;6282414.098
CHASTR;720881.2246;6282101.725
CHASTR;722330.2449;6281480.928
CHASTR;722224.9982;6281429.437
CHASTR;721944.5917;6281560.609
CHASTR;722316.3;6281382.855
CHASTR;769562.0052;6291249.477
CHASTR;755053.811;6274683.846
CHASTR;649198.1873;6231737.32
CHASTR;652541.815;6231588.216
CHASTR;649378.2427;6231643.249
CHASTR;649220.7849;6231737.141
CHASTR;796299.9696;6365222.706
CHASTR;726925.9194;6285316.471
CHASTR;668967.589;6225934.198
CHASTR;758109.9859;6266443.558
CHASTR;765456.1614;6273139.254
CHASTR;758406.6279;6266657.454
CHASTR;758427.1567;6266713.218
CHASTR;767512.3941;6273471.893
CHASTR;767548.883;6273461.165
CHASTR;769221.0729;6274157.097
CHASTR;756716.7803;6265230.583
CHASTR;758451.0054;6267113.586
CHASTR;757882.5059;6266185.841
CHASTR;758630.7987;6267359.77
CHASTR;759328.6617;6268010.897
CHASTR;759453.2387;6268012.055
CHASTR;759604.5928;6267224.283
CHASTR;759482.3429;6267145.336
CHASTR;756725.8799;6265208.433
CHASTR;756735.7888;6265186.29
CHASTR;761573.536;6269955.069
CHASTR;767317.4694;6272869.625
CHASTR;766187.5437;6272846.692
CHASTR;764607.8784;6272130.263
CHASTR;757951.8931;6266208.701
CHASTR;723709.6149;6252791.155
CHASTR;751340.916;6275496.994
CHASTR;834705.9622;6376847.96
CHASTR;693365.3275;6204426.949
CHASTR;693168.4819;6204560.728
CHASTR;767556.243;6311378.697
CHASTR;763774.0431;6306847.064
CHASTR;802288.4646;6321956.048
CHASTR;797382.3796;6346513.64
CHASTR;809002.8874;6335611.022
CHASTR;754813.0878;6266775.908
CHASTR;753017.7638;6265593.602
CHASTR;766836.1237;6273461.624
CHASTR;765253.4288;6271900.56
CHASTR;767642.455;6273618.882
CHASTR;765669.2403;6275490.183
CHASTR;766892.656;6273065.47
CHASTR;766890.3581;6273073
CHASTR;758547.0671;6266441.792
CHASTR;805387.3972;6319389.829
CHASTR;814442.6102;6353104.533
CHASTR;756871.8368;6279727.693
CHASTR;756608.0334;6279549.021
CHASTR;756704.4839;6279732.093
CHASTR;756694.4272;6279637.673
CHASTR;756631.9184;6279567.922
CHASTR;757652.9691;6279711.754
CHASTR;643092.353;6199938.658
CHASTR;643043.8788;6199936
CHASTR;726787.7267;6283575.111
CHASTR;762277.0552;6306210.606
CHASTR;794777.9677;6366693.032
CHASTR;764929.7651;6297770.547
CHASTR;695320.1185;6198597.848
CHASTR;715857.9688;6248164.269
CHASTR;769315.8108;6274146.7
CHASTR;766372.8371;6272711.175
CHASTR;782265.845;6286636.8
CHASTR;769203.9095;6291246.09
CHASTR;779133.1701;6320283.345
CHASTR;781743.2341;6285922.329
CHASTR;808392.3393;6382375.356
CHASTR;770609.9523;6287305.926
CHASTR;676424.8727;6170514.452
CHASTR;768732.479;6297093.012
CHASTR;799128.4854;6312584.799
CHASTR;646971.8524;6197844.064
CHASTR;792553.1959;6366209.157
CHASTR;768264.8668;6272799.155
CHASTR;761889.155;6293960.625
CHASTR;697234.5809;6228406.588
CHASTR;697005.3658;6229280.29
CHASTR;767416.0154;6272477.322
CHASTR;728531.6215;6285716.156
CHASTR;708336.396;6224131.55
CHASTR;696964.5765;6229173.275
CHASTR;768276.9097;6272804.697
CHASTR;768244.5292;6272769.516
CHASTR;820586.6212;6295395.532
CHASTR;768197.4296;6272680.571
CHASTR;799572.0691;6313150.891
CHASTR;761374.1135;6293277.537
CHASTR;767093.4787;6270704.238
CHASTR;799623.615;6313127.473
CHASTR;707784.6123;6224237.911
CHASTR;768310.9678;6272704.546
CHASTR;711552.8357;6243186.274
CHASTR;756884.1304;6292215.089
CHASTR;763384.3044;6272129.111
CHASTR;756399.1606;6292479.536
CHASTR;768101.4844;6272718.089
CHASTR;708003.6019;6224456.256
CHASTR;696615.8261;6229054.27
CHASTR;707940.2972;6224539.481
CHASTR;762563.3347;6274588.519
CHASTR;799650.2542;6313134.782
CHASTR;800189.1257;6312907.925
CHASTR;697217.0396;6228442.973
CHASTR;799464.8282;6313149.875
CHASTR;697200.407;6228724.571
CHASTR;797866.3999;6295650.441
CHASTR;790287.7528;6297083.179
CHASTR;822294.7166;6297320.33
CHASTR;767459.6682;6272483.214
CHASTR;799642.2148;6313094.204
CHASTR;752514.2498;6292636.012
CHASTR;766627.362;6270258.207
CHASTR;697240.7709;6228415.925
CHASTR;817476.1851;6313109.502
CHASTR;817597.5764;6312889.477
CHASTR;696966.9632;6229186.348
CHASTR;696958.723;6228985.3
CHASTR;696941.6783;6228604.804
CHASTR;768369.3029;6272695.816
CHASTR;844334.5888;6323978.036
CHASTR;799687.8279;6313039.355
CHASTR;768071.9695;6272633.31
CHASTR;799560.4114;6313151.83
CHASTR;803580.9907;6313300.779
CHASTR;796933.2523;6337620.75
CHASTR;678086.6882;6167470.047
