"HIEVIR"	"LACBIL"	"NATMAU"	"NATNAT"	"PODMUR"	"ZAMLON"	"CORGIR"	"ANGFRA"	"MALMON"	"PODLIO"	"RHISCA"	"VIPASP"	"CHASTR"	"TARMAU"	"TIMLEP"	"PSAALG"	"PSAEDW"	"EMYORB"	"MAULEP"	"CORAUS"	"HEMTUR"	"ZOOVIV"	"LACAGI"	"VIPBER"
"ID345"	3	5	0	2	4	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	1
"ID346"	4	6	7	3	6	2	2	0	0	3	0	3	0	0	0	0	0	0	0	0	0	2	0	1
"ID347"	3	16	7	4	20	4	1	4	1	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0
"ID348"	3	80	0	5	77	28	2	2	3	3	0	7	0	0	1	0	0	0	0	0	0	0	0	0
"ID349"	20	60	12	16	24	15	7	0	1	3	0	17	0	11	0	0	0	0	0	0	0	0	1	0
"ID350"	31	15	8	11	35	19	4	4	1	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0
"ID351"	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID377"	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	39	4	27
"ID378"	9	5	0	7	2	0	0	9	0	0	0	3	0	0	0	0	0	0	0	3	0	7	3	9
"ID379"	28	25	6	4	41	0	1	15	0	0	0	8	0	0	0	0	0	2	0	2	0	0	0	0
"ID380"	2	4	0	7	23	0	0	7	0	0	0	3	0	0	0	0	0	0	0	4	0	3	1	3
"ID381"	1	1	0	9	5	0	0	5	0	0	0	1	0	0	0	0	0	0	0	3	0	26	8	30
"ID382"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	6
"ID383"	0	1	0	1	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	10	3	5
"ID384"	0	1	1	1	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
"ID385"	5	9	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	8	2	1
"ID386"	0	12	6	7	6	4	1	7	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID387"	0	16	7	2	118	2	6	4	20	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0
"ID388"	2	35	14	7	15	8	2	9	19	7	2	0	13	0	10	0	0	0	0	0	0	0	0	0
"ID389"	1	23	5	5	8	6	1	2	5	10	0	4	3	0	4	0	0	0	0	0	0	0	0	0
"ID390"	6	19	5	1	19	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ID391"	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID417"	0	7	1	7	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	7	0	28	15	13
"ID418"	15	37	12	7	16	3	0	3	0	0	0	8	0	0	0	0	0	0	0	1	0	3	3	2
"ID419"	120	113	11	12	77	0	0	3	0	0	0	27	0	0	0	0	0	0	0	8	0	0	1	0
"ID420"	14	14	2	1	16	0	1	7	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0
"ID421"	3	5	2	0	6	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
"ID422"	3	9	4	0	15	0	0	6	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1
"ID423"	0	2	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID424"	1	13	2	3	6	4	2	9	4	2	0	4	0	0	3	0	0	0	0	1	0	15	5	0
"ID425"	0	10	6	1	7	4	1	5	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"ID426"	0	5	6	1	5	1	1	0	5	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0
"ID427"	1	32	25	26	32	2	4	12	18	1	11	0	5	3	4	0	0	10	2	0	0	0	0	0
"ID428"	0	12	6	7	14	2	2	5	26	11	5	1	4	0	4	0	0	0	0	0	0	0	0	0
"ID429"	0	9	1	0	7	6	3	5	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID430"	6	30	4	5	25	3	8	7	9	2	2	0	1	4	0	0	0	0	0	0	0	0	0	0
"ID431"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID432"	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ID458"	35	25	18	14	37	1	2	2	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0
"ID459"	12	29	9	3	18	0	0	1	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0
"ID460"	7	11	11	0	11	1	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0
"ID461"	10	11	2	2	10	2	1	3	0	2	0	2	0	0	0	0	0	0	0	0	0	21	9	5
"ID462"	2	2	0	0	6	0	0	9	0	0	0	3	0	0	0	0	0	0	0	4	0	40	10	6
"ID463"	0	3	4	1	4	0	1	0	0	3	0	4	0	0	0	0	0	0	0	5	0	18	5	2
"ID464"	0	14	20	5	13	9	0	7	12	4	0	3	0	0	0	0	0	0	0	0	0	1	1	1
"ID465"	0	10	6	1	13	2	0	1	8	5	1	0	3	1	2	0	0	0	0	0	0	0	0	0
"ID466"	0	75	30	24	21	26	6	27	63	34	7	2	17	0	47	0	0	1	0	0	0	0	0	0
"ID467"	0	12	14	5	27	8	2	4	13	8	3	0	4	2	11	0	0	4	0	0	0	0	0	0
"ID468"	0	30	5	8	6	5	1	7	7	36	3	3	5	0	0	0	0	0	0	1	0	0	0	0
"ID469"	0	45	3	2	7	1	0	1	3	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0
"ID470"	3	50	4	0	31	2	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"ID471"	10	10	1	1	9	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"ID472"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID498"	5	6	0	1	8	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID499"	9	9	0	0	5	2	2	0	0	1	0	8	0	0	3	0	0	0	0	0	0	0	0	0
"ID500"	12	16	10	5	9	2	4	0	0	4	0	6	0	0	19	0	0	0	0	2	0	0	0	0
"ID501"	15	17	10	2	16	15	3	0	0	9	0	4	0	0	1	0	0	0	0	1	0	0	0	0
"ID502"	7	36	9	3	31	12	2	3	1	6	0	10	0	0	1	0	0	0	0	3	0	4	15	0
"ID503"	0	6	1	5	10	6	0	3	6	1	0	6	0	0	1	0	0	0	0	4	0	14	22	2
"ID504"	1	8	1	1	11	7	2	6	8	9	0	1	0	0	2	0	0	0	0	0	0	2	0	0
"ID505"	0	11	5	5	9	2	0	4	4	9	0	0	1	0	3	0	0	0	0	0	0	0	0	0
"ID506"	0	19	4	3	4	5	4	8	7	4	3	3	6	0	7	0	0	0	2	0	0	0	0	0
"ID507"	0	6	2	0	0	0	0	0	1	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0
"ID508"	0	25	24	8	31	3	2	5	6	20	3	4	4	0	2	0	0	0	0	0	0	0	0	0
"ID509"	2	8	5	2	1	7	1	2	8	23	1	2	0	4	2	0	0	0	0	0	0	0	0	0
"ID510"	3	20	0	0	25	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
"ID511"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID538"	15	23	4	2	14	0	2	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0
"ID539"	7	29	5	4	10	3	1	2	0	2	0	4	0	0	1	0	0	0	0	2	0	0	0	0
"ID540"	3	24	0	7	27	0	0	1	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0
"ID541"	9	15	6	5	22	8	2	2	1	4	0	4	0	0	2	0	0	0	0	0	0	0	1	0
"ID542"	4	23	5	4	9	19	8	3	3	5	0	3	0	0	1	0	0	0	0	4	0	0	2	0
"ID543"	1	9	4	1	8	7	5	3	7	3	0	7	0	0	1	0	0	0	0	0	0	0	0	0
"ID544"	0	8	4	5	14	8	0	6	9	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0
"ID545"	0	13	0	1	12	1	0	5	6	4	0	0	5	1	4	0	1	0	0	0	0	0	0	0
"ID546"	0	5	1	0	7	0	0	1	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"ID547"	0	8	3	4	4	1	1	1	8	0	1	2	1	0	4	0	0	0	0	0	0	0	0	0
"ID548"	0	4	3	2	11	0	1	1	4	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0
"ID549"	1	5	0	0	12	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID550"	0	6	2	0	15	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
