"";"PLOT";"X5_min";"X10_min";"X15_min";"total";"year";"julian_date";"altitude";"PROPNATFOR"
"268";515;1;0;0;1;2005;352;157;0,179858934169279
"269";516;2;1;3;4;2005;352;178;0,473244781783681
"270";520;0;1;2;2;2005;352;120;0,188287764203995
"271";521;3;4;4;4;2005;352;372;0,152610441767068
"272";522;1;1;2;2;2005;332;77;0
"273";523;2;2;1;5;2005;332;99;0
"274";524;1;1;3;5;2005;332;107;0,145967166309779
"275";525;1;3;2;6;2005;332;101;0
"276";530;2;1;0;3;2005;335;67;0,686967910936477
"277";531;2;0;2;3;2005;335;167;0,92588092345079
"278";532;1;1;0;2;2005;335;244;1
"279";540;2;3;2;3;2005;339;182;0,350045167118338
"280";541;4;3;3;4;2005;339;179;0,727220956719818
"281";542;1;0;0;1;2005;339;288;1
"282";543;4;4;4;4;2005;339;265;1
"283";544;2;2;2;3;2005;339;224;1
"284";546;1;2;2;2;2005;339;179;0,438250096786682
"285";547;2;1;2;2;2005;339;231;0,746113989637306
"286";551;2;2;2;2;2005;342;127;0,0209839123338774
"287";552;1;2;1;2;2005;341;323;0,827083333333333
"288";553;2;2;2;2;2005;341;307;0,32621359223301
"289";554;2;1;3;3;2005;341;463;1
"290";555;1;1;0;1;2005;342;18;0,376139817629179
"291";560;2;0;2;2;2005;334;436;1
"292";561;1;1;0;1;2005;335;571;0,721006564551422
"293";562;1;0;0;1;2005;334;296;1
"294";563;2;2;2;2;2005;335;147;0,51424450054093
"295";570;1;1;0;1;2005;353;634;1
"296";571;2;1;1;2;2005;353;736;1
"297";572;0;1;1;1;2005;353;758;1
"298";574;1;0;0;1;2005;353;745;1
"299";577;0;0;1;1;2005;342;312;0,199896292455276
"300";578;2;2;1;2;2005;342;214;0,139448336252189
"301";579;2;1;1;2;2005;342;381;0,148506694129763
"302";580;1;2;1;2;2005;342;431;0,140828556539865
"303";581;2;3;2;3;2005;335;56;0,476586888657648
"304";583;2;1;1;2;2005;335;222;0,642681426814268
"305";584;1;1;2;2;2005;335;306;0,899045020463847
"306";585;1;1;2;2;2005;335;103;0,7272030651341
"307";590;2;3;3;4;2005;332;116;0
"308";591;1;2;2;2;2005;341;360;1
"309";595;2;2;2;3;2005;348;426;1
"310";596;1;1;2;2;2005;348;453;1
"311";597;2;1;1;2;2005;349;235;0
"312";598;4;4;4;4;2005;349;141;0
"313";599;3;3;3;3;2005;349;182;0
"314";600;2;3;2;3;2005;345;68;0
"315";601;1;1;1;1;2005;345;67;0
"316";602;1;2;1;2;2005;345;67;0
"317";603;2;2;2;2;2005;345;67;0
"318";604;0;1;0;1;2005;345;62;0
"319";605;1;1;1;1;2005;345;61;0
"320";607;2;2;2;2;2005;345;63;0
"321";608;3;3;3;3;2005;345;61;0
"322";609;3;2;3;3;2005;345;63;0
"323";610;1;1;2;2;2005;345;64;0
"324";611;6;7;6;7;2005;345;62;0
"325";615;3;2;2;3;2005;345;62;0
"326";616;0;1;0;1;2005;345;63;0
"327";619;3;3;3;3;2005;345;68;0
"328";634;1;2;0;2;2005;355;133;0
"329";635;2;2;2;3;2005;355;124;0
"330";636;0;2;1;2;2005;355;119;0
"331";637;1;1;2;3;2005;355;115;0
"332";640;4;3;3;4;2005;355;101;0
"333";660;1;2;0;2;2005;348;186;0
"334";661;3;4;3;5;2005;348;183;0
"335";662;3;6;6;6;2005;348;178;0
"336";671;4;2;2;5;2005;347;216;0
"337";672;2;3;2;4;2005;347;220;0
"338";700;3;2;2;3;2005;355;1;0
"339";701;1;1;1;1;2005;355;1;0
"340";702;2;2;3;3;2005;355;1;0
"341";703;1;2;2;2;2005;355;5;0,0319961795606495
"342";704;2;2;1;2;2005;355;5;0,0841824737419658
"343";705;3;3;3;3;2005;355;1;0,00207939508506616
"344";706;2;2;0;2;2005;355;1;0
"345";708;2;1;0;2;2005;355;2;0
"346";709;3;4;4;4;2005;355;4;0
"347";710;4;1;1;4;2005;355;4;0
"348";711;2;2;0;2;2005;355;1;0,0124124761298536
"349";712;1;1;0;1;2005;355;1;0
"350";713;3;4;4;4;2005;355;1;0
"351";1001;0;1;1;2;2006;303;22;0
"352";1003;3;2;2;3;2006;303;241;0,0453396524486572
"353";1005;0;0;1;1;2006;303;424;0,433147632311978
"354";1006;2;0;4;4;2006;303;131;0,960581492871121
"355";1007;2;1;1;2;2006;303;403;1
"356";1008;2;3;1;3;2006;303;94;0,135763097949886
"357";1009;2;3;3;4;2006;303;241;0,0470159886021846
"358";1010;0;0;1;1;2006;303;19;0
"359";1014;1;1;1;2;2006;303;305;0,81641302253901
"360";1015;6;5;7;8;2006;312;6;0,0577269993986771
"361";1017;0;0;1;1;2006;312;5;1
"362";1019;0;0;1;1;2006;312;4;0
"363";1020;3;5;5;5;2006;312;2;0,216313116223484
"364";1023;1;1;1;1;2006;312;6;0,935665914221219
"365";1024;1;0;1;1;2006;312;6;1
"366";1026;2;3;2;3;2006;312;2;0,153905496624879
"367";1028;3;3;3;3;2006;312;5;0
"368";1029;0;0;1;1;2006;299;188;0,321730227796263
"369";1030;1;1;0;1;2006;299;249;0,216940363007779
"370";1031;1;2;3;3;2006;299;467;0,211385701676964
"371";1032;0;2;0;2;2006;299;635;0,576923076923077
"372";1033;0;3;2;3;2006;299;625;0,659367396593674
"373";1034;2;2;2;2;2006;299;606;0,226676946800308
"374";1035;2;2;0;3;2006;299;176;0,972537878787879
"375";1042;0;0;1;1;2006;305;189;1
"376";1043;0;0;2;2;2006;305;362;0,790201501382853
"377";1044;2;1;2;4;2006;305;353;0,795533307662688
"378";1045;0;2;2;2;2006;305;313;1
"379";1049;1;1;2;2;2006;313;225;1
"380";1050;3;3;3;4;2006;313;197;0
"381";1053;0;1;2;2;2006;313;215;1
"382";1054;0;0;1;1;2006;313;154;1
"383";1055;3;3;3;3;2006;303;13;0,0246913580246914
"384";1057;1;2;2;2;2006;303;298;0
"385";1058;1;1;1;1;2006;303;420;0,0472911759376699
"386";1059;1;1;1;2;2006;303;361;0,0344552560216941
"387";1060;4;5;5;5;2006;303;238;0,114897413024086
"388";1061;1;1;1;1;2006;318;120;0,704311331552842
"389";1062;1;0;0;1;2006;318;92;0,691851851851852
"390";1064;1;1;1;1;2006;318;672;0,421845574387947
"391";1067;1;2;0;2;2006;319;214;0,643540669856459
"392";1070;3;2;2;4;2006;318;143;0,663563267033432
"393";1071;2;1;1;3;2006;318;141;0,586779661016949
"394";1074;1;1;0;1;2006;319;258;0,563953488372093
"395";1075;1;1;0;1;2006;319;624;1
"396";1076;0;0;1;1;2006;319;241;0,47485536270583
"397";1077;1;1;2;2;2006;319;312;0,947698744769874
"398";1078;1;0;2;2;2006;319;474;0,7206132879046
"399";1080;2;2;2;3;2006;317;504;1
"400";1084;1;1;2;2;2006;317;434;1
"401";1085;0;0;1;1;2006;317;222;0,634097706879362
"402";1086;1;0;0;1;2006;317;194;0,300062383031815
"403";1089;0;1;0;1;2006;319;146;0,928184281842818
"404";1091;1;1;2;2;2006;317;494;1
"405";1092;1;0;0;1;2006;317;493;1
"406";1093;0;1;0;1;2006;317;322;0,478758169934641
"407";1094;0;1;1;2;2006;317;447;0,948921679909194
"408";1095;0;1;2;2;2006;318;221;0,620879120879121
"409";1096;1;2;1;2;2006;318;211;0,563451776649746
"410";1097;2;2;1;3;2006;319;180;1
"411";1098;4;4;4;4;2006;330;8;0
"412";1099;1;1;2;2;2006;324;4;0
"413";1100;0;1;0;1;2006;324;3;0
"414";1102;2;1;2;2;2006;324;5;0,229761347683669
"415";1103;3;2;2;3;2006;324;5;0
"416";1104;1;0;1;2;2006;324;2;0
"417";1105;1;1;0;1;2006;325;47;1
"418";1108;1;1;1;1;2006;325;446;1
"419";1113;1;2;0;2;2006;325;35;1
"420";1126;2;3;2;3;2006;327;163;0,788659793814433
"421";1127;1;0;0;1;2006;327;253;0,888762769580023
"422";1131;0;0;1;1;2006;327;189;0
"423";1132;1;1;3;3;2006;327;28;0
"424";1133;1;1;2;2;2006;327;235;1
"425";1134;0;0;1;1;2006;327;20;0
"426";1136;1;2;1;2;2006;327;222;0,954707985697259
"427";1141;1;1;0;1;2006;327;65;0
"428";1142;1;0;0;1;2006;327;305;0,983633387888707
"429";1145;0;0;1;1;2006;331;190;0
"430";1147;1;1;1;1;2006;331;209;0
"431";1151;1;0;1;1;2006;331;191;0
"432";1152;0;2;1;2;2006;331;206;0
"433";1154;2;1;1;3;2006;331;213;0
"434";1158;0;3;1;3;2006;332;189;0
"435";1159;1;1;0;1;2006;332;178;0
"436";1160;2;2;2;3;2006;332;187;0
"437";1163;1;2;1;2;2006;332;189;0
"438";1164;1;2;1;2;2006;332;180;0
"439";1165;1;1;0;1;2006;332;190;0
"440";1167;4;4;4;4;2006;332;189;0
"441";1168;7;7;7;7;2006;332;188;0
"442";1172;1;3;1;3;2006;332;138;0
"443";1173;1;2;2;3;2006;332;138;0
"444";1174;0;0;1;1;2006;332;134;0
"445";1175;0;2;1;2;2006;332;114;0
"446";1176;1;1;1;1;2006;332;137;0
"447";1177;0;3;3;3;2006;332;139;0
"448";1180;1;1;1;1;2006;332;108;0
"449";1181;9;9;9;9;2006;332;137;0
"450";1182;5;5;5;5;2006;332;139;0
"451";1183;2;2;1;3;2006;332;138;0
"452";1186;7;8;9;12;2006;332;107;0
"453";1187;2;3;3;3;2006;337;119;0
"454";1188;1;2;0;2;2006;337;133;0
"455";1189;1;2;0;2;2006;337;131;0
"456";1190;7;7;3;7;2006;337;58;0
"457";1195;1;0;2;2;2006;337;66;0
"458";1196;4;3;3;4;2006;337;66;0
"459";1198;1;1;1;1;2006;337;61;0
"460";1203;4;2;2;4;2006;337;61;0
"461";1208;1;1;0;2;2006;337;62;0
"462";1209;3;1;1;4;2006;337;60;0
"463";1210;1;2;2;2;2006;338;125;0
"464";1211;1;2;1;2;2006;338;114;0
"465";1212;3;1;1;3;2006;338;106;0
"466";1213;1;0;0;1;2006;338;283;0,501561280249805
"467";1214;0;0;1;1;2006;338;303;0,593677118424462
"468";1215;1;1;1;3;2006;338;259;0
"469";1220;0;1;1;1;2006;338;275;0,0337457817772778
"470";1224;1;1;0;2;2006;338;376;0
"471";1225;1;1;0;2;2006;338;390;0
"472";1234;3;3;2;2;2006;334;660;1
"473";1235;2;2;1;2;2006;334;659;1
"474";1236;2;2;2;2;2006;334;681;1
"475";1237;2;2;2;2;2006;334;741;1
"476";1238;1;2;2;2;2006;334;761;1
"477";1239;3;3;2;3;2006;334;740;1
"478";1240;1;2;1;2;2006;334;531;1
"479";1246;2;0;0;2;2006;334;566;1
"480";1247;0;1;1;1;2006;334;593;1
"481";1248;3;1;1;4;2006;334;566;1
"482";1249;2;1;1;2;2006;334;558;1
"483";1250;3;3;2;3;2006;334;1201;1
"484";1251;1;1;1;1;2006;334;927;1
"485";1252;2;2;2;2;2006;334;957;1
"486";1253;3;3;3;3;2006;334;1103;1
"487";1254;2;2;0;2;2006;334;936;1
"488";1255;2;2;1;2;2006;334;787;1
"489";1256;1;0;0;1;2006;334;579;1
"490";1258;2;2;3;3;2006;334;819;1
"491";1259;1;1;0;1;2006;334;863;1
"492";1260;4;2;2;5;2006;334;839;1
"493";1261;2;3;1;4;2006;334;757;1
"494";1262;1;1;1;1;2006;334;774;1
"495";1263;3;1;1;3;2006;334;755;1
"496";1265;2;2;1;2;2006;339;539;1
"497";1266;1;1;2;2;2006;339;577;1
"498";1271;1;1;2;2;2006;339;52;1
"499";1272;2;2;2;2;2006;339;111;0,844213649851632
"500";1276;4;4;2;4;2006;339;579;1
"501";1279;2;1;1;3;2006;339;547;0,427177448500181
"502";1286;3;1;1;3;2006;341;200;0
"503";1287;1;2;3;3;2006;341;198;0
"504";1288;2;2;3;5;2006;341;199;0
"505";1289;4;3;2;4;2006;341;206;0
"506";1290;0;0;1;1;2006;341;210;0
"507";1294;2;2;4;4;2006;341;202;0
"508";1295;4;4;2;4;2006;341;198;0
"509";1296;2;4;4;4;2006;341;201;0
"510";1297;2;2;3;3;2006;341;203;0
"511";1301;2;3;4;5;2006;346;88;0
"512";1303;2;3;4;5;2006;346;91;0
"513";1304;2;2;2;2;2006;344;111;0
"514";1305;1;2;2;3;2006;344;106;0
"515";1307;3;3;3;3;2006;344;93;0
"516";1313;2;2;2;2;2006;344;79;0
"517";1314;2;3;0;3;2006;344;86;0
"518";1315;2;3;3;3;2006;344;84;0
"519";1316;3;3;3;3;2006;344;77;0
"520";1317;4;4;4;4;2006;344;78;0
"521";1319;3;3;3;4;2006;344;104;0
"522";1320;4;3;4;4;2006;344;97;0
"523";1321;2;3;3;3;2006;344;93;0
"524";1322;4;4;0;4;2006;344;93;0
"525";1324;1;2;3;3;2006;344;109;0
"526";1325;1;2;2;2;2006;344;105;0
"527";1326;1;2;3;5;2006;353;396;0,0116758241758242
