"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"152"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"153"	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
"154"	3	0	0	0	0	5	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
"155"	2	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"156"	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0
"157"	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	3	5
"158"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	3	7
"159"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	3	5
"160"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	4	7
"161"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
"162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
"163"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"164"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
"165"	0	0	0	0	1	28	0	0	0	0	0	1	0	0	0	0	4	1	0	0	2	0
"166"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
"167"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0
"168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0
"169"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
"170"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
"171"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
"172"	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
"173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"175"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
"176"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
