"PLOT"	"X5_min"	"X10_min"	"X15_min"	"total"	"year"	"julian_date"	"altitude"	"PROPNATFOR"
571	2	1	1	2	2005	353	736	1
572	0	1	1	1	2005	353	758	1
574	1	0	0	1	2005	353	745	1
577	0	0	1	1	2005	342	312	0.199896292455276
578	2	2	1	2	2005	342	214	0.139448336252189
579	2	1	1	2	2005	342	381	0.148506694129763
580	1	2	1	2	2005	342	431	0.140828556539865
581	2	3	2	3	2005	335	56	0.476586888657648
583	2	1	1	2	2005	335	222	0.642681426814268
584	1	1	2	2	2005	335	306	0.899045020463847
585	1	1	2	2	2005	335	103	0.7272030651341
590	2	3	3	4	2005	332	116	0
591	1	2	2	2	2005	341	360	1
595	2	2	2	3	2005	348	426	1
596	1	1	2	2	2005	348	453	1
597	2	1	1	2	2005	349	235	0
598	4	4	4	4	2005	349	141	0
599	3	3	3	3	2005	349	182	0
600	2	3	2	3	2005	345	68	0
601	1	1	1	1	2005	345	67	0
602	1	2	1	2	2005	345	67	0
603	2	2	2	2	2005	345	67	0
604	0	1	0	1	2005	345	62	0
605	1	1	1	1	2005	345	61	0
607	2	2	2	2	2005	345	63	0
608	3	3	3	3	2005	345	61	0
609	3	2	3	3	2005	345	63	0
610	1	1	2	2	2005	345	64	0
611	6	7	6	7	2005	345	62	0
615	3	2	2	3	2005	345	62	0
616	0	1	0	1	2005	345	63	0
619	3	3	3	3	2005	345	68	0
634	1	2	0	2	2005	355	133	0
635	2	2	2	3	2005	355	124	0
636	0	2	1	2	2005	355	119	0
637	1	1	2	3	2005	355	115	0
640	4	3	3	4	2005	355	101	0
660	1	2	0	2	2005	348	186	0
661	3	4	3	5	2005	348	183	0
662	3	6	6	6	2005	348	178	0
671	4	2	2	5	2005	347	216	0
672	2	3	2	4	2005	347	220	0
700	3	2	2	3	2005	355	1	0
701	1	1	1	1	2005	355	1	0
702	2	2	3	3	2005	355	1	0
703	1	2	2	2	2005	355	5	0.0319961795606495
704	2	2	1	2	2005	355	5	0.0841824737419658
705	3	3	3	3	2005	355	1	0.00207939508506616
706	2	2	0	2	2005	355	1	0
708	2	1	0	2	2005	355	2	0
709	3	4	4	4	2005	355	4	0
710	4	1	1	4	2005	355	4	0
711	2	2	0	2	2005	355	1	0.0124124761298536
712	1	1	0	1	2005	355	1	0
713	3	4	4	4	2005	355	1	0
1001	0	1	1	2	2006	303	22	0
1003	3	2	2	3	2006	303	241	0.0453396524486572
1005	0	0	1	1	2006	303	424	0.433147632311978
1006	2	0	4	4	2006	303	131	0.960581492871121
1007	2	1	1	2	2006	303	403	1
1008	2	3	1	3	2006	303	94	0.135763097949886
1009	2	3	3	4	2006	303	241	0.0470159886021846
1010	0	0	1	1	2006	303	19	0
1014	1	1	1	2	2006	303	305	0.81641302253901
1015	6	5	7	8	2006	312	6	0.0577269993986771
1017	0	0	1	1	2006	312	5	1
1019	0	0	1	1	2006	312	4	0
1020	3	5	5	5	2006	312	2	0.216313116223484
1023	1	1	1	1	2006	312	6	0.935665914221219
1024	1	0	1	1	2006	312	6	1
1026	2	3	2	3	2006	312	2	0.153905496624879
1028	3	3	3	3	2006	312	5	0
1029	0	0	1	1	2006	299	188	0.321730227796263
