"";"Nom";"Annee";"Abroutissement";"Densite_lin";"Frequentation";"Altitude";"Pente";"Tirs";"X";"Y";"fabr";"lfrequentation";"resid.gam";"resid.gam.spat"
"416";"HAUTES BAUGES";2017;0;3,30158972740173;0;938,933227539062;26,5120162963867;16;945099,157346492;6513811,79984091;"0";0;-0,586961097431652;-0,568728230850022
"420";"HAUTES BAUGES";2017;1;8,31174278259277;5181;1048,33325195312;23,245626449585;0;948707,313195145;6510256,80543657;"1";8,55294636112206;1,16856672606204;1,27034642218215
"426";"HAUTES BAUGES";2017;1;10,3180513381958;14201;1121,01098632812;8,99008274078369;0;952593,605694932;6510687,88991281;"1";9,56113807874204;0,831350805231092;0,827322283743404
"438";"HAUTES BAUGES";2017;0;13,0088558197021;20;925,824829101563;20,0803489685059;0;947694,627619557;6509494,21500945;"0";3,04452243772342;-1,18516619577786;-1,44177428057753
"440";"HAUTES BAUGES";2017;1;7,56345987319946;133;1150,22729492188;32,2748222351074;1;950563,916185479;6509473,47719501;"1";4,89783979995091;0,951834010813968;0,963803926844958
"456";"HAUTES BAUGES";2017;1;6,89375972747803;114;1171,9677734375;27,307933807373;1;949957,229772237;6510143,12127174;"1";4,74493212836325;1,05890707604401;1,03358438573393
"463";"HAUTES BAUGES";2017;1;11,8931083679199;481;1010,57385253906;16,6735019683838;1;945031,31537973;6504199,8714792;"1";6,1779441140506;1,12547019545702;1,00187690815286
"479";"HAUTES BAUGES";2017;0;5,16259431838989;9074;1219,36291503906;19,4320888519287;0;948917,973739631;6510354,90138856;"0";9,11327865913305;-1,06793437733504;-1,04649713511632
"481";"HAUTES BAUGES";2017;1;6,70030164718628;25;968,448120117188;28,337911605835;1;945779,85530017;6509904,37022232;"1";3,25809653802148;1,18361667052985;1,33437723167337
"484";"HAUTES BAUGES";2017;1;7,85277700424194;1744;850,540771484375;24,8116912841797;1;945899,584058055;6510464,84313972;"1";7,46450983463653;1,37195770561595;1,53817774541643
"486";"HAUTES BAUGES";2017;1;7,60453081130981;31;853,499206542969;12,7637348175049;0;944343,541123887;6505198,91789204;"1";3,46573590279973;1,03845014025415;0,971446297309094
"488";"HAUTES BAUGES";2017;1;4,54350900650024;5637;1383,08630371094;5,82124900817871;1;952689,216649953;6512390,56436383;"1";8,63728467167406;0,851051657956915;0,95996354852143
"490";"HAUTES BAUGES";2017;1;8,11221408843994;9447;1172,89916992188;19,359712600708;0;952238,884761987;6510799,8525951;"1";9,1535583578772;1,07938878396124;0,982771178777435
"502";"HAUTES BAUGES";2017;1;7,55237102508545;1380;877,805847167969;24,2512817382812;0;944774,472967644;6507322,32219192;"1";7,23056315340929;1,32686080765343;1,38865163299353
"522";"HAUTES BAUGES";2017;1;6,44338321685791;8841;1159,78833007812;24,3776187896729;0;948509,081614437;6508702,88724139;"1";9,08726837438619;1,25097935828533;1,25699626369307
"524";"HAUTES BAUGES";2017;0;9,29760551452637;3246;766,581970214844;16,0960578918457;2;945275,345548025;6512924,06108548;"0";8,08548677210285;-1,01049797447954;-0,715069693434586
"527";"HAUTES BAUGES";2017;0;2,81609725952148;50;982,004821777344;22,6126613616943;1;944810,025900894;6511911,96543692;"0";3,93182563272433;-0,972113610320326;-0,784166026380446
"529";"HAUTES BAUGES";2017;0;4,79836940765381;335;854,139038085938;22,5934448242187;1;944220,483228087;6512484,54582155;"0";5,8171111599632;-0,821460090642752;-0,668468493009167
