;species;xcoord;ycoord
17597;TIMLEP;732177.0319;6284288.929
17598;TIMLEP;790003.3129;6298106.949
17599;TIMLEP;758169.6479;6303756.135
17600;TIMLEP;814667.5232;6295529.931
17601;TIMLEP;764241.3486;6297603.522
17602;TIMLEP;732536.0863;6249658.768
17603;TIMLEP;732575.0497;6249654.52
17604;TIMLEP;814690.9655;6295570.367
17605;TIMLEP;802754.9196;6311524.77
17606;TIMLEP;802595.5733;6311687.78
17607;TIMLEP;687071.3461;6167673.949
17608;TIMLEP;680514.9794;6240850.445
17609;TIMLEP;679938.9526;6240836.657
17610;TIMLEP;679925.1421;6240836.7
17611;TIMLEP;680934.0827;6241093.755
17612;TIMLEP;679484.8144;6171246.212
17613;TIMLEP;683859.5167;6180533.318
17614;TIMLEP;683948.7202;6181122.561
17615;TIMLEP;679761.8344;6240573.744
17616;TIMLEP;680571.0506;6240855.833
17617;TIMLEP;687448.2606;6166708.822
17618;TIMLEP;686304.2264;6169374.025
17619;TIMLEP;686307.5286;6169381.805
17620;TIMLEP;685145.2576;6171918.166
17621;TIMLEP;685122.1338;6171860.381
17622;TIMLEP;683879.4362;6179970.494
17623;TIMLEP;820717.7849;6301636.066
17624;TIMLEP;687450.1429;6166407.376
17625;TIMLEP;687451.0465;6166449.643
17626;TIMLEP;687465.1224;6166504.12
17627;TIMLEP;685437.2553;6194727.069
17628;TIMLEP;684953.1345;6194842.722
17629;TIMLEP;684690.7205;6194595.347
17630;TIMLEP;802138.5677;6307926.282
17631;TIMLEP;802384.6738;6307374.567
17632;TIMLEP;802234.0068;6307592.188
17633;TIMLEP;698503.7482;6241511.375
17634;TIMLEP;698439.554;6241418.01
17635;TIMLEP;698261.5633;6241067.879
17636;TIMLEP;681986.0241;6240782.779
17637;TIMLEP;640174.715;6246789.519
17638;TIMLEP;706758.274;6232287.588
17639;TIMLEP;707746.8875;6232753.413
17640;TIMLEP;707830.0095;6232626.775
17641;TIMLEP;706765.5788;6232303.161
17642;TIMLEP;660364.5487;6239060.075
17643;TIMLEP;638110.0258;6218706.286
17644;TIMLEP;748008.5203;6264002.126
17645;TIMLEP;707656.5132;6232825.568
17646;TIMLEP;707658.9534;6232825.571
17647;TIMLEP;707806.5378;6232530.025
17648;TIMLEP;707819.3078;6232731.266
17649;TIMLEP;707625.715;6232732.145
17650;TIMLEP;707965.2484;6231800.915
17651;TIMLEP;821974.881;6303914.098
17652;TIMLEP;821523.4913;6303323.048
17653;TIMLEP;820672.6483;6302444.346
17654;TIMLEP;640488.4329;6218650.5
17655;TIMLEP;638613.926;6218628.075
17656;TIMLEP;639115.7771;6218331.988
17657;TIMLEP;821037.1681;6303335.992
17658;TIMLEP;821575.9235;6303400.742
17659;TIMLEP;660487.6681;6238994.836
17660;TIMLEP;821988.1011;6303979.927
17661;TIMLEP;704115.0346;6221394.566
17662;TIMLEP;684943.417;6187830.473
17663;TIMLEP;708338.485;6152116.221
17664;TIMLEP;707610.6381;6151877.611
17665;TIMLEP;691554.215;6169551.83
17666;TIMLEP;692928.969;6196882.773
17667;TIMLEP;692943.0177;6196889.753
17668;TIMLEP;692892.3685;6195521.372
17669;TIMLEP;692966.1623;6195579.013
17670;TIMLEP;691488.2757;6169582.36
17671;TIMLEP;683720.3104;6181040.17
17672;TIMLEP;683557.8584;6181503.374
17673;TIMLEP;676004.1217;6170557.641
17674;TIMLEP;659082.3177;6190842.876
17675;TIMLEP;766003.5774;6272290.952
17676;TIMLEP;766027.5612;6272291.508
17677;TIMLEP;677759.4057;6189257.13
17678;TIMLEP;677660.8163;6187677.261
17679;TIMLEP;691023.4624;6169520.002
17680;TIMLEP;707251.4987;6151107.139
17681;TIMLEP;678683.4166;6189169.976
17682;TIMLEP;678563.7106;6189105.588
17683;TIMLEP;678721.8343;6187494.031
17684;TIMLEP;677063.1662;6188159.19
17685;TIMLEP;698571.8978;6173833.598
17686;TIMLEP;684628.1081;6176827.766
17687;TIMLEP;697862.6153;6189346.347
17688;TIMLEP;684938.293;6180019.106
17689;TIMLEP;649354.4184;6169438.083
17690;TIMLEP;682623.7265;6172338.478
17691;TIMLEP;685135.0848;6180363.434
